Word,Lemma
росії,росія
орків,орк
орки,орк
німеччин,німеччина
маріуполе,маріуполь
рашисти,рашист
росіяни,росіянин
зеленсьхто,зеленський
російських,російський
рашистів,рашист
кацапських,кацапський
москалі,москаль
російські,російський
москалів,москаль
бучі,буча
рашки,рашка
росіян,росіянин
перемовина,перемовини
кацапські,кацапський
маріупола,маріуполь
московії,московія
звірства,звірство
колон,колона
росію,росія
мізок,мозок
виродки,виродок
порошенка,порошенко
настілько,настільки
потрібен,потрібний
москалям,москаль
Миколай,миколаїв
оркам,орк
параші,параша
раші,раша
мордору,мордор
рашку,рашка
перемовин,перемовини
кацапії,кацапія
росією,росія
єрмака,єрмак
виродків,виродок
баксів,бакс
москви,москва
рашці,рашка
російської,російська
кацапсьхто,кацапський
логік,логіка
пуйла,пуйло
москву,москва
мелітополя,мелітополь
капітуляцію,капітуляція
російсьхто,російський
байдена,байден
цензорі,цензор
дупу,дупа
кацапні,кацапня
друз,друзі
москві,москва
кацапської,кацапська
карат,карати
кацапським,кацапський
рашистських,рашиський
лайна,лайно
людська,людський
русні,русня
тварюки,тварюка
добра,добро
сраку,срака
зеленськома,зеленський
азову,азов
памятаю,памятати
кацапську,кацапська
кремля,кремль
кацапське,кацапський
вільна,вільний
москаля,москаль
звязку,звязок
наскілько,наскільки
нелюдів,нелюд
бучу,буча
московських,московський
орками,орк
російським,російський
рашистам,рашист
дебіли,дебіл
тероборону,тероборона
мордора,мордор
кончені,кончений
перемовино,перемовини
байрактари,байрактар
москальські,москальський
москалями,москаль
нептуни,нептун
залужнога,залужний
цапів,цап
пороха,порох
покидьків,покидьок
московитів,московит
путлера,путлер
перешийка,перешийок
бункері,бункер
арестовича,арестович
московсьхто,московський
покидьки,покидьок
капітуляції,капітуляція
рашистами,рашист
довбня,довбень
рашкою,рашка
російську,російська
свинособак,свинособака
рашистські,рашиський
станути,стати
джавеліна,джавелін
тварі,тварь
союзників,союзник
кровю,кров
дупи,дупа
агресора,агресор
обстрілюють,обстрілювати
коменти,комент
російською,російська
московіта,московит
обєкти,обєкт
запчастин,запчастина
обстрілів,обстріл
русню,русня
москвою,москва
рашиські,рашиський
статистик,статистика
виплат,виплата
сімї,сімя
хуло,хуйло
росіянам,росіянин
украіни,Україна
падли,падло
гвалтують,гвалтувати
інфу,інфа
російськими,російський
мяса,мясо
бабла,бабло
чутка,чутки
обстрілу,обстріл
московські,московський
банкової,банкова
нептунів,нептун
мародерів,мародер
арахамії,арахамія
тимчасова,тимчасовий
кацапію,кацапія
розмінувал,розмінувати
вагнерівців,вагнерівці
парашу,параша
джавелінів,джавелін
рашистсьхто,рашиський
московити,московит
тероборони,тероборона
зело,зеля
гвалтувал,гвалтувати
заморожені,заморожений
херню,херня
китайців,китайці
сраки,срака
роія,росія
рашу,раша
тортури,тортура
аеродроми,аеродром
піару,піар
кремлівсьхто,кремлівський
тварюк,тварюка
орка,орк
попал,попасти
клован,котлован
рашиста,рашист
азова,азов
генштабу,генштаб
коломойсьхто,коломойський
обстрілами,обстріл
довбойоби,довбойоб
практик,практика
лайном,лайно
мордорі,мордор
украіну,Україна
абрамовича,абрамович
пуйлом,пуйло
крематорії,крематорій
розмінував,розмінувати
фюрера,фюрер
совку,совок
дупі,дупа
курви,курва
дальності,дальність
уйла,уйло
клоуна,клоун
московію,московія
бункера,бункер
паскуди,паскуда
русского,русский
росіяна,росіянин
ботів,боти
банковій,банкова
рашиським,рашиський
льотчиків,льотчик
теробороні,тероборона
соцмережах,соцмережі
байдену,байден
мародери,мародер
русские,русский
агресором,агресор
гелікоптерів,гелікоптер
ублюдки,ублюдок
маріка,марік
людяності,людяність
кремлівська,кремлівський
бронетехнік,бронетехніка
союзу,союз
союзники,союзник
рфії,рфія
бють,бити
мацкву,мацква
зашкалює,зашкалювати
пуйлу,пуйло
фейки,фейк
російській,російський
мордором,мордор
росіі,росія
московської,московська
рашистський,рашиський
шольца,шольц
безпілотники,безпілотник
гівна,гівно
найвеличнішого,найвеличніший
гонити,гнати
татарова,татаров
унітази,унітаз
памятаєте,памятати
Валерія,валерій
