;lema;absol_freq;relat_freq
0;не;15311;0.025645320411571297
1;і;15215;0.02548452420234193
2;в;11600;0.019429541948548564
3;що;10822;0.018126422669585564
4;на;10807;0.018101298261893477
5;цей;9386;0.015721179373196278
6;бути;9038;0.01513829311473982
7;з;7899;0.013230513090653888
8;а;7756;0.012990993737322643
9;той;7679;0.012862021777836588
10;у;5820;0.0097482701845304
11;весь;4704;0.007879014252239004
12;до;4201;0.00703650911429763
13;за;4192;0.007021434469682377
14;Україна;3915;0.00655747040763514
15;який;3292;0.0055139700081570575
16;то;3190;0.005343124035850855
17;ми;3179;0.0053246994702099894
18;така;3091;0.00517730294508307
19;том;2949;0.004939458552264631
20;вон;2772;0.004642990541497984
21;як;2765;0.0046312658179083425
22;про;2754;0.004612841252267478
23;вони;2709;0.004537468029191212
24;сам;2609;0.004369971977910621
25;могти;2519;0.004219225531758089
26;для;2474;0.004143852308681823
27;час;2443;0.00409192853278484
28;але;2429;0.004068479085605557
29;вже;2394;0.00400985546765735
30;такий;2326;0.003895958152786548
31;ще;2310;0.0038691587845816537
32;по;2248;0.003765311232787687
33;війна;2224;0.003725112180480345
34;ви;2150;0.003601165102532708
35;свій;2124;0.003557616129199754
36;від;2115;0.0035425414845845007
37;й;1957;0.0032778977235611672
38;наш;1930;0.0032326737897154074
39;він;1828;0.0030618278174092046
40;я;1788;0.002994829396896968
41;мати;1779;0.002979754752281715
42;там;1778;0.002978079791768909
43;чи;1758;0.0029445805815127906
44;великий;1670;0.0027971840563858707
45;щоб;1632;0.002733535556899246
46;хто;1567;0.0026246631235668618
47;бо;1528;0.0025593396635674314
48;якщо;1524;0.0025526398215162077
49;тільки;1510;0.002529190374336925
50;треба;1499;0.00251076580869606
51;під;1443;0.002416968019978929
52;йога;1424;0.0023851437702356168
53;ти;1394;0.0023348949548514394
54;ж;1363;0.0022829711789544562
55;робити;1337;0.0022394222056215025
56;це;1306;0.0021874984297245194
57;кола;1302;0.0021807985876732957
58;інший;1282;0.0021472993774171775
59;казати;1282;0.0021472993774171775
60;кацап;1255;0.002102075443571418
61;воно;1201;0.0020116275758798987
62;рік;1154;0.001932904431778021
63;навіть;1152;0.001929554510752409
64;хотіти;1138;0.0019061050635731263
65;питання;1099;0.0018407816035736957
66;б;1087;0.0018206820774200247
67;український;1071;0.0017938827092151303
68;країна;1051;0.001760383498959012
69;можна;1010;0.0016917101179339698
70;просто;939;0.0015727879215247501
71;дужий;925;0.0015493384743454673
72;розуміти;909;0.0015225391061405727
73;ворог;906;0.001517514224602155
74;себе;893;0.0014957397379356781
75;українець;893;0.0014957397379356781
76;місто;887;0.0014856899748588426
77;знати;883;0.001478990132807619
78;де;877;0.0014689403697307835
79;або;859;0.0014387910805002773
80;раз;859;0.0014387910805002773
81;ну;853;0.0014287413174234418
82;оден;852;0.0014270663569106359
83;ні;851;0.00142539139639783
84;тут;845;0.0014153416333209945
85;зброя;836;0.0014002669887057412
86;росія;833;0.0013952421071673235
87;щось;799;0.0013382934497319227
88;вона;798;0.0013366184892191167
89;без;798;0.0013366184892191167
90;влада;771;0.001291394555373357
91;військовий;763;0.0012779948712709098
92;людина;758;0.0012696200687068802
93;люди;754;0.0012629202266556565
94;орк;752;0.0012595703056300447
95;ракета;749;0.001254545424091627
96;ніжити;745;0.0012478455820404033
97;після;737;0.001234445897937956
98;якийсь;734;0.0012294210163995385
99;через;726;0.0012160213322970912
100;їсти;722;0.0012093214902458675
101;лише;718;0.0012026216481946439
102;мабуть;707;0.0011841970825537788
103;маріуполь;698;0.0011691224379385256
104;із;697;0.0011674474774257197
105;територія;680;0.0011389731487080191
106;танк;661;0.001107148898964707
107;ніщо;656;0.0010987740964006774
108;нищити;651;0.0010903992938366479
109;вбити;648;0.0010853744122982301
110;би;644;0.0010786745702470065
111;потрібно;641;0.0010736496887085887
112;зсу;638;0.001068624807170171
113;писати;628;0.0010518752020421118
114;думати;627;0.001050200241529306
115;от;616;0.0010317756758884409
116;армія;612;0.0010250758338372172
117;народ;609;0.0010200509522987995
118;бачити;607;0.0010167010312731877
119;перти;594;0.000994926544606711
120;один;592;0.0009915766235810992
121;тепер;581;0.000973152057940234
122;нато;571;0.000956402452812175
123;зараза;569;0.0009530525317865632
124;теж;555;0.0009296030846072804
125;відповідь;552;0.0009245782030688626
126;немає;550;0.0009212282820432508
127;російський;533;0.0008927539533255504
128;дати;530;0.0008877290717871326
129;день;527;0.0008827041902487149
130;ніхто;525;0.0008793542692231031
131;військо;525;0.0008793542692231031
132;тоді;522;0.0008743293876846853
133;проблема;521;0.0008726544271718794
134;замість;519;0.0008693045061462676
135;проти;517;0.0008659545851206558
136;тоя;513;0.0008592547430694321
137;світ;512;0.0008575797825566262
138;зовсім;505;0.0008458550589669849
139;потім;505;0.0008458550589669849
140;слово;484;0.0008106808881980607
141;взагалі;480;0.0008039810461468371
142;давати;479;0.0008023060856340311
143;рашист;475;0.0007956062435828075
144;президент;472;0.0007905813620443899
145;зеленський;463;0.0007755067174291366
146;Путін;444;0.0007436824676858243
147;ось;441;0.0007386575861474065
148;рф;433;0.0007252579020449593
149;почати;430;0.0007202330205065416
150;хтось;429;0.0007185580599937357
151;дія;426;0.0007135331784553179
152;два;425;0.000711858217942512
153;сила;425;0.000711858217942512
154;сша;423;0.0007085082969169002
155;те;419;0.0007018084548656765
156;також;419;0.0007018084548656765
157;місце;416;0.0006967835733272588
158;смерть;414;0.000693433652301647
159;шо;408;0.0006833838892248115
160;місяць;406;0.0006800339681991997
161;йти;406;0.0006800339681991997
162;воювати;400;0.0006699842051223643
163;стати;398;0.0006666342840967525
164;зі;398;0.0006666342840967525
165;гроші;397;0.0006649593235839465
166;їхній;396;0.0006632843630711406
167;втрата;394;0.0006599344420455288
168;нема;391;0.0006549095605071111
169;піти;389;0.0006515596394814992
170;життя;388;0.0006498846789686933
171;поки;388;0.0006498846789686933
172;жаль;385;0.0006448597974302756
173;голова;385;0.0006448597974302756
174;мень;384;0.0006431848369174697
175;Крим;383;0.0006415098764046638
176;мене;383;0.0006415098764046638
177;справа;381;0.0006381599553790519
178;ваш;381;0.0006381599553790519
179;рок;380;0.000636484994866246
180;злочин;380;0.000636484994866246
181;хоча;379;0.0006348100343534401
182;скільки;377;0.0006314601133278283
183;знищення;377;0.0006314601133278283
184;тисяча;375;0.0006281101923022164
185;новий;371;0.0006214103502509928
186;москаль;371;0.0006214103502509928
187;ус;367;0.0006147105081997692
188;держава;361;0.0006046607451229338
189;земля;360;0.0006029857846101278
190;окупант;349;0.0005845612189692628
191;кацапський;347;0.000581211297943651
192;тобто;346;0.0005795363374308451
193;говорити;346;0.0005795363374308451
194;дивитися;346;0.0005795363374308451
195;же;344;0.0005761864164052332
196;літак;339;0.0005678116138412037
197;потрібний;338;0.0005661366533283977
198;область;335;0.00056111177178998
199;діти;334;0.0005594368112771741
200;далі;330;0.0005527369692259505
201;мова;330;0.0005527369692259505
202;увесь;321;0.0005376623246106973
203;чекати;317;0.0005309624825594737
204;росіянин;317;0.0005309624825594737
205;знову;316;0.0005292875220466678
206;тупий;313;0.00052426264050825
207;кращий;310;0.0005192377589698323
208;рашка;308;0.0005158878379442204
209;захід;304;0.0005091879958929968
210;допомога;304;0.0005091879958929968
211;знищувати;304;0.0005091879958929968
212;завжди;303;0.0005075130353801909
213;стан;302;0.000505838074867385
214;зрадник;301;0.000504163114354579
215;кордон;301;0.000504163114354579
216;ніякий;299;0.0005008131933289672
217;дорога;297;0.0004974632723033555
218;Європа;294;0.0004924383907649378
219;останній;293;0.0004907634302521318
220;частина;293;0.0004907634302521318
221;сьогодні;291;0.00048741350922651996
222;отримати;291;0.00048741350922651996
223;річ;291;0.00048741350922651996
224;перед;288;0.0004823886276881023
225;шкода;287;0.00048071366717529636
226;оборона;287;0.00048071366717529636
227;ніколи;286;0.00047903870666249045
228;повний;284;0.0004756887856368786
229;багато;282;0.0004723388646112668
230;зелений;280;0.00046898894358565497
231;якби;280;0.00046898894358565497
232;санкція;276;0.0004622891015344313
233;вважати;275;0.0004606141410216254
234;залишитися;275;0.0004606141410216254
235;другий;275;0.0004606141410216254
236;технік;272;0.00045558925948320766
237;працювати;271;0.0004539142989704018
238;зе;271;0.0004539142989704018
239;мій;271;0.0004539142989704018
240;десь;271;0.0004539142989704018
241;перший;269;0.00045056437794478997
242;намагатися;267;0.00044721445691917814
243;рука;264;0.0004421895753807604
244;давно;262;0.0004388396543551486
245;кожний;262;0.0004388396543551486
246;закон;261;0.00043716469384234266
247;південь;261;0.00043716469384234266
248;власний;260;0.00043548973332953675
249;щодо;255;0.0004271149307655072
250;три;254;0.00042543997025270127
251;око;254;0.00042543997025270127
252;перемога;254;0.00042543997025270127
253;назад;253;0.0004237650097398954
254;наступ;253;0.0004237650097398954
255;єс;252;0.0004220900492270895
256;населення;252;0.0004220900492270895
257;с;251;0.0004204150887142836
258;прийти;251;0.0004204150887142836
259;початок;251;0.0004204150887142836
260;право;251;0.0004204150887142836
261;світовий;250;0.00041874012820147766
262;вторгнення;249;0.00041706516768867175
263;кожен;247;0.0004137152466630599
264;Херсон;247;0.0004137152466630599
265;повинний;247;0.0004137152466630599
266;цивільний;247;0.0004137152466630599
267;можливо;246;0.000412040286150254
268;інформація;246;0.000412040286150254
269;жодний;244;0.0004086903651246422
270;майже;244;0.0004086903651246422
271;тиждень;243;0.00040701540461183627
272;історія;241;0.00040366548358622444
273;громадянин;241;0.00040366548358622444
274;над;240;0.00040199052307341853
275;склад;240;0.00040199052307341853
276;напад;239;0.0004003155625606126
277;гірший;236;0.00039529068102219493
278;читати;235;0.000393615720509389
279;бойовий;235;0.000393615720509389
280;жінка;235;0.000393615720509389
281;бік;234;0.0003919407599965831
282;зрада;234;0.0003919407599965831
283;російська;233;0.0003902657994837772
284;озброєння;233;0.0003902657994837772
285;помилка;232;0.00038859083897097127
286;боятися;231;0.00038691587845816536
287;москва;231;0.00038691587845816536
288;ситуація;226;0.0003785410758941358
289;твій;225;0.0003768661153813299
290;більш;225;0.0003768661153813299
291;фронт;225;0.0003768661153813299
292;нехай;224;0.00037519115486852396
